symbol,strategy,strike,short_strike,type,vol_mode,iv_context,iv,iv_rank,iv_percentile,hv,hv10,hv20,hv60,delta,vega,theta,score,entry,stop_loss,target,risk_reward,reason,mid_price,bid,ask,spot,moneyness,oi,volume,expected_move,expected_move_ratio,quality_score,atm_iv,atm_reference_iv,skew_discount,trend,dte,component_scores,security_id
HINDZINC,Volatility Expansion Play,540.0,,CALL,skew,below_chain_mean,42.26812554108497,,,53.93388975574763,56.56155342231267,49.01340303362122,57.866875052017775,0.38485,0.52113,-0.48212,94.08,14.8,9.62,26.64,2.29,"['IV is 11.67 points below weighted HV', 'Delta 0.38 sits in the preferred directional range', 'Strike IV is 0.23 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Chain IV percentile is cheap at 14.6', 'Volume is above same-side chain average', 'Liquidity is strong in both OI and volume']",14.8,14.55,15.05,515.75,4.701890450799806,601475,782775,59.18423992917261,0.40973745762420255,4,43.84734139418508,56.56023432821388,0.23462510993584187,bearish,25,"{'skew': 51.88, 'iv_vs_hv': 93.26, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",1424
VBL,Volatility Expansion Play,420.0,,CALL,skew,below_chain_mean,34.1737478035668,,,40.99406756230204,47.65309521100682,43.08629196489125,31.545407376811646,0.37615,0.40509,-0.31046,94.01,9.05,5.88,16.29,2.29,"['IV is 6.82 points below weighted HV', 'Delta 0.38 sits in the preferred directional range', 'Strike IV is 0.53 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Chain IV percentile is cheap at 17.0', 'Volume is above same-side chain average', 'Liquidity is strong in both OI and volume']",9.05,8.95,9.15,403.7,4.037651721575431,907875,535500,38.58273998630351,0.4224686998846207,4,36.51831619711115,74.36302097615737,0.5262933572331282,bearish,25,"{'skew': 54.21, 'iv_vs_hv': 83.27, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",18921
RBLBANK,Volatility Expansion Play,305.0,,CALL,skew,below_chain_mean,26.713427640352283,,,37.57468662874412,41.55239524370183,37.21129552661756,34.08149948328848,0.479,0.31702,-0.20341,93.87,7.7,5.0,13.86,2.29,"['IV is 10.86 points below weighted HV', 'Strike IV is 0.43 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is above same-side chain average', 'Historical IV expansion observed after similar low IV levels', 'Liquidity is strong in both OI and volume']",7.7,7.4,8.0,301.0,1.3289036544850499,1962150,4686300,21.043746569767983,0.1900802210641763,3,26.713635462278702,43.80056292349263,0.42966631418691664,neutral,25,"{'skew': 53.44, 'iv_vs_hv': 100.0, 'delta': 70.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",18391
EICHERMOT,Volatility Expansion Play,7000.0,,CALL,skew,below_chain_mean,35.006348039993945,,,42.629998945897874,46.02441693293805,45.64911249942391,35.21009622082299,0.33241,6.38475,-4.95118,93.66,129.43,84.13,232.97,2.29,"['IV is 7.62 points below weighted HV', 'Delta 0.33 sits in the preferred directional range', 'Strike IV is 0.54 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Chain IV percentile is cheap at 19.7', 'Volume is above same-side chain average', 'Liquidity is strong in both OI and volume']",129.425,128.3,130.55,6649.5,5.271073013008497,130100,156100,646.6285237812257,0.5420422810154055,4,37.157141441415234,62.37107131328736,0.5367380532475234,bearish,25,"{'skew': 54.29, 'iv_vs_hv': 85.77, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 95.8}",910
INDIGO,Volatility Expansion Play,4500.0,,CALL,skew,below_chain_mean,35.420574521575915,,,53.884249897270294,66.83393262409712,54.0363352940107,40.73178664145626,0.26374,3.62241,-2.80143,93.25,59.75,38.84,107.55,2.29,"['IV is 18.46 points below weighted HV', 'Delta 0.26 sits in the preferred directional range', 'Strike IV is 0.41 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Chain IV percentile is cheap at 12.8', 'Volume is above same-side chain average', 'Liquidity is strong in both OI and volume']",59.75,59.5,60.0,4193.5,7.308930487659474,313800,920700,480.5885117552552,0.6377597310442751,4,43.78982055599188,62.06828726940057,0.4115346457179512,bearish,25,"{'skew': 53.29, 'iv_vs_hv': 100.0, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 86.22}",11195
RVNL,Volatility Expansion Play,250.0,,CALL,skew,below_chain_mean,24.835125854588394,,,52.9531216154419,64.24815866216974,53.819465039947026,40.502960002707226,0.78091,0.20355,-0.15085,93.1,14.66,9.53,26.39,2.29,"['IV is 28.12 points below weighted HV', 'Strike IV is 0.69 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Chain IV percentile is cheap at 3.7', 'Volume is above same-side chain average', 'Historical IV expansion observed after similar low IV levels', 'Liquidity is strong in both OI and volume']",14.66,14.54,14.78,260.66,-4.0896186603238025,864675,1708000,35.156202846474265,0.3032181844709402,3,51.53520389017694,85.99339842870437,0.6888894580150331,bearish,25,"{'skew': 55.51, 'iv_vs_hv': 100.0, 'delta': 25.0, 'vega': 81.42, 'liquidity': 100.0, 'strike_relevance': 100.0}",9552
RBLBANK,Volatility Expansion Play,300.0,,PUT,skew,below_chain_mean,26.136253603222908,,,37.57468662874412,41.55239524370183,37.21129552661756,34.08149948328848,-0.42706,0.31214,-0.12282,92.99,6.97,4.53,12.55,2.29,"['IV is 11.44 points below weighted HV', 'Strike IV is 0.15 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is above same-side chain average', 'Historical IV expansion observed after similar low IV levels', 'Liquidity is strong in both OI and volume']",6.975,6.8,7.15,301.0,0.33222591362126247,2486025,4664075,21.043746569767983,0.047520055266044074,3,26.713635462278702,30.172042007493268,0.15287618247287954,neutral,25,"{'skew': 51.22, 'iv_vs_hv': 100.0, 'delta': 70.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",18391
NATIONALUM,Volatility Expansion Play,390.0,,PUT,skew,below_chain_mean,45.39666907799977,,,53.19429001137205,49.26042186379974,54.39465871706959,55.52766655134764,-0.35695,0.39623,-0.30984,92.95,12.45,8.09,22.41,2.29,"['IV is 7.80 points below weighted HV', 'Delta -0.36 sits in the preferred directional range', 'Strike IV is 0.32 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Chain IV percentile is cheap at 18.6', 'Volume is above same-side chain average', 'Liquidity is strong in both OI and volume']",12.45,12.35,12.55,401.8,2.936784469885518,982500,6041250,47.25303366352093,0.2497194166204305,4,44.93618419897139,54.388449322222925,0.31718041450223944,bullish,25,"{'skew': 52.54, 'iv_vs_hv': 79.32, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",6364
HINDZINC,Volatility Expansion Play,550.0,,CALL,skew,below_chain_mean,42.29236979695663,,,53.93388975574763,56.56155342231267,49.01340303362122,57.866875052017775,0.32396,0.49009,-0.44888,92.89,11.43,7.43,20.57,2.29,"['IV is 11.64 points below weighted HV', 'Delta 0.32 sits in the preferred directional range', 'Strike IV is 0.23 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Chain IV percentile is cheap at 18.8', 'Volume is above same-side chain average', 'Liquidity is strong in both OI and volume']",11.425,11.3,11.55,515.75,6.64081434803684,1113525,1810550,59.18423992917261,0.5787013576754201,4,43.84734139418508,56.56023432821388,0.23422710630433277,bearish,25,"{'skew': 51.87, 'iv_vs_hv': 93.17, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 92.13}",1424
COLPAL,Volatility Expansion Play,1920.0,,CALL,skew,below_chain_mean,29.267849487385377,,,35.1566013133118,37.44394158957279,37.94741650192489,29.148174118900034,0.3103,1.70705,-1.12737,92.89,27.2,17.68,48.96,2.29,"['IV is 5.89 points below weighted HV', 'Delta 0.31 sits in the preferred directional range', 'Strike IV is 0.62 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Chain IV percentile is cheap at 13.5', 'Volume is above same-side chain average', 'Liquidity is strong in both OI and volume']",27.2,26.7,27.7,1829.5,4.946706750478272,64350,55350,151.85683582869132,0.5959560496973113,4,31.71599644578407,83.36031350382629,0.6199408522568506,bearish,25,"{'skew': 54.96, 'iv_vs_hv': 83.5, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 90.4}",15141
