snapshot_date,snapshot_time,security_id,symbol,spot_price,atm_strike,atm_iv,atm_call_iv,atm_put_iv
2026-03-30,15:03:58,10217,ADANIENSOL,932.7,930.0,179.90312356769337,321.60806590562777,38.198181229758966
2026-03-30,15:05:04,1023,FEDERALBNK,259.0,260.0,24.27648658759655,10.589227843628366,37.96374533156474
2026-03-30,15:06:32,10738,OFSS,6740.5,6700.0,37.065465220218265,,37.065465220218265
2026-03-30,15:07:36,10753,UNIONBANK,164.31,165.0,33.72972249608098,12.370526568901944,55.08891842326001
2026-03-30,15:04:38,10794,CANBK,123.1,123.0,36.59044303330155,,36.59044303330155
2026-03-30,15:04:54,10940,DIVISLAB,5955.0,5950.0,19.14684481372657,6.40718350521261,31.886506122240533
2026-03-30,15:06:10,10999,MARUTI,12268.0,12300.0,23.01570969492667,18.15283959430324,27.87857979555009
2026-03-30,15:05:34,11195,INDIGO,3941.6,3950.0,5.578106889653658,5.578106889653658,
2026-03-30,15:07:35,11532,ULTRACEMCO,10723.0,10700.0,5.495224335993939,,5.495224335993939
2026-03-30,15:06:53,11571,PPLPHARMA,136.72,137.5,134.626607462001,60.11605647013473,209.1371584538673
2026-03-30,15:04:03,11703,ALKEM,5305.5,5300.0,65.97281118476764,35.49413905581492,96.45148331372036
2026-03-30,15:04:04,1185,AMBER,6539.5,6500.0,35.2902381752095,28.52634233370911,42.054134016709895
2026-03-30,15:07:46,11915,YESBANK,17.25,17.0,52.25728706907845,64.7752328631859,39.739341274970975
2026-03-30,15:07:16,12018,SUZLON,39.43,39.0,22.28094964562719,,22.28094964562719
2026-03-30,15:05:51,12092,KAYNES,3437.3,3450.0,99.1608527265696,168.30709359418788,30.01461185895132
2026-03-30,15:04:05,1270,AMBUJACEM,400.3,400.0,9.198001061082328,,9.198001061082328
2026-03-30,15:03:56,13,NIFTY,22308.4,22300.0,6.450494739671541,5.77435905404874,7.1266304252943415
2026-03-30,15:03:56,13061,360ONE,951.5,960.0,33.73575334465207,33.73575334465207,
2026-03-30,15:05:52,13310,KEI,4018.5,4000.0,31.262004019428336,40.3096879911569,22.21432004769977
2026-03-30,15:05:17,1333,HDFCBANK,727.85,730.0,9.260073087307854,9.260073087307854,
2026-03-30,15:05:53,13359,KFINTECH,883.8,880.0,13.2876832447152,,13.2876832447152
2026-03-30,15:05:19,1348,HEROMOTOCO,5053.0,5050.0,15.63831231025059,,15.63831231025059
2026-03-30,15:07:25,13538,TECHM,1371.9,1380.0,25.189694643640102,12.183846686840912,38.19554260043929
2026-03-30,15:05:20,1363,HINDALCO,884.6,880.0,15.493598355064004,11.479311622127874,19.507885088000137
2026-03-30,15:07:31,13786,TORNTPOWER,1305.1,1310.0,198.9300376760568,293.7145810077335,104.14549434438
2026-03-30,15:05:23,1394,HINDUNILVR,2053.5,2060.0,48.07700003220227,48.69291570821041,47.461084356194135
2026-03-30,15:05:21,1406,HINDPETRO,335.1,335.0,4.94391904158621,,4.94391904158621
2026-03-30,15:05:33,14309,INDIANB,841.3,840.0,31.87416760740569,,31.87416760740569
2026-03-30,15:06:36,14413,PAGEIND,31575.0,31500.0,27.50337854605253,24.71902421823043,30.287732873874628
2026-03-30,15:04:57,14732,DLF,503.45,500.0,53.35436779329649,61.42100400906133,45.287731577531645
2026-03-30,15:06:51,14977,POWERGRID,296.15,295.0,41.67592807825118,,41.67592807825118
2026-03-30,15:04:02,15083,ADANIPORTS,1311.6,1320.0,47.74573942385745,16.68346332816549,78.80801551954941
2026-03-30,15:05:32,1512,INDHOTEL,570.65,570.0,6.804625654223062,9.60959170244815,3.999659605997975
2026-03-30,15:06:58,15355,RECLTD,305.0,305.0,35.02458037934636,38.130812116163646,31.91834864252907
2026-03-30,15:05:38,1594,INFY,1247.7,1240.0,37.11675858821371,56.71110154881812,17.522415627609313
2026-03-30,15:05:40,1624,IOC,135.29,135.0,7.9021501887318575,10.140391646543495,5.663908730920219
2026-03-30,15:04:16,16669,BAJAJ-AUTO,8772.5,8800.0,23.49736644946349,31.981278428368192,15.013454470558788
2026-03-30,15:04:17,16675,BAJAJFINSV,1633.2,1640.0,59.11281888191772,51.45163610217631,66.77400166165913
2026-03-30,15:06:37,17029,PATANJALI,458.65,460.0,80.83321745283273,57.55867038305866,104.1077645226068
2026-03-30,15:06:33,17438,OIL,477.8,480.0,11.65474433524856,11.65474433524856,
2026-03-30,15:06:39,18365,PERSISTENT,4871.5,4900.0,66.90511419847363,58.48177842081404,75.3284499761332
2026-03-30,15:06:57,18391,RBLBANK,289.95,290.0,44.431064599019344,42.79345597697705,46.06867322106164
2026-03-30,15:06:52,18457,POWERINDIA,24140.0,24250.0,31.00742256572629,43.77540620998025,18.239438921472345
2026-03-30,15:06:29,18721,NUVAMA,1162.2,1160.0,77.78682985184469,53.1608052266759,102.41285447701348
2026-03-30,15:06:48,18908,PNBHOUSING,760.45,760.0,62.75233292591393,30.917105916480192,94.58755993534768
2026-03-30,15:05:54,1922,KOTAKBANK,352.9,352.5,5.986529261341154,,5.986529261341154
2026-03-30,15:05:57,19234,LAURUSLABS,992.1,990.0,28.62531696089264,,28.62531696089264
2026-03-30,15:04:36,19585,BSE,2679.3,2700.0,47.55112871631813,48.88904955737351,46.21320787526276
2026-03-30,15:07:32,1964,TRENT,3288.6,3300.0,78.95441503307225,61.0754607684687,96.8333692976758
2026-03-30,15:04:58,19913,DMART,3950.1,3950.0,62.82837454280815,75.33494927146673,50.32179981414957
2026-03-30,15:05:58,1997,LICHSGFIN,495.1,495.0,44.51195201234636,38.37318156736509,50.650722457327625
2026-03-30,15:06:31,20242,OBEROIRLTY,1419.5,1420.0,43.49298867186124,16.112243281264547,70.87373406245793
2026-03-30,15:05:41,20261,IREDA,108.88,109.0,70.07147748397686,70.07147748397686,
2026-03-30,15:06:56,20302,PRESTIGE,1125.3,1120.0,54.42939939827425,,54.42939939827425
2026-03-30,15:04:45,20374,COALINDIA,451.3,452.5,14.117800676878492,14.117800676878492,
2026-03-30,15:04:39,21174,CDSL,1117.1,1120.0,53.940087966670696,49.529650674994905,58.35052525834649
2026-03-30,15:06:15,2142,MFSL,1490.8,1500.0,38.11572248263633,38.11572248263633,
2026-03-30,15:04:25,2144,BDL,1095.7,1100.0,4.785368020582912,4.785368020582912,
2026-03-30,15:03:57,21614,ABCAPITAL,292.15,290.0,21.69935157238577,,21.69935157238577
2026-03-30,15:04:56,21690,DIXON,9732.0,9700.0,10.25055198330356,,10.25055198330356
2026-03-30,15:05:31,220,IEX,114.8,115.0,24.915632731092625,8.195276455127093,41.63598900705816
2026-03-30,15:06:11,22377,MAXHEALTH,962.8,960.0,39.84719468011659,57.11271856551888,22.581670794714288
2026-03-30,15:04:21,2263,BANDHANBNK,141.28,142.5,107.64556303905596,106.70007338627369,108.59105269183826
2026-03-30,15:05:12,2303,HAL,3495.9,3500.0,2.743102013288186,2.743102013288186,
2026-03-30,15:06:19,23650,MUTHOOTFIN,3155.5,3150.0,28.564838154949083,41.646205028629566,15.4834712812686
2026-03-30,15:06:34,2475,ONGC,284.65,284.75,2.820777859602067,2.820777859602067,
2026-03-30,15:03:59,25,ADANIENT,1753.7,1760.0,32.37559996935421,,32.37559996935421
2026-03-30,15:06:54,25049,PREMIERENE,891.15,890.0,20.925337119742583,22.828729269160167,19.02194497032501
2026-03-30,15:07:17,27066,SWIGGY,259.65,260.0,8.187356809118295,6.117499239889979,10.25721437834661
2026-03-30,15:04:14,275,AUROPHARMA,1306.5,1310.0,14.31482262130114,6.115509770352611,22.514135472249663
2026-03-30,15:05:37,29135,INDUSTOWER,416.4,415.0,36.36795095946084,36.636314181622446,36.09958773729923
2026-03-30,15:05:50,2955,KALYANKJIL,375.45,375.0,55.82499338620168,,55.82499338620168
2026-03-30,15:04:18,305,BAJAJHLDNG,8768.0,8800.0,15.031454117741047,,15.031454117741047
2026-03-30,15:07:06,3103,SHREECEM,23000.0,23000.0,23.98884743414128,,23.98884743414128
2026-03-30,15:06:13,31181,MCX,2387.7,2380.0,56.7255552053154,30.302959310357583,83.14815110027322
2026-03-30,15:07:26,312,TIINDIA,2516.8,2520.0,51.36555262315676,86.44880407642823,16.282301169885294
2026-03-30,15:07:09,3150,SIEMENS,2929.9,2950.0,12.594773529313954,12.594773529313954,
2026-03-30,15:04:19,317,BAJFINANCE,800.8,800.0,8.06316168539206,5.994893184193211,10.13143018659091
2026-03-30,15:06:00,3220,LODHA,675.75,680.0,32.170599679965854,6.602200194668533,57.73899916526318
2026-03-30,15:07:12,3273,SRF,2433.8,2440.0,41.494448987755824,41.494448987755824,
2026-03-30,15:07:13,3351,SUNPHARMA,1759.5,1760.0,45.206475454939685,71.15085236533127,19.26209854454809
2026-03-30,15:07:14,3363,SUPREMEIND,3723.0,3700.0,5.088895155087443,,5.088895155087443
2026-03-30,15:04:37,342,CAMS,626.4,630.0,56.26719093500702,23.625464673409848,88.9089171966042
2026-03-30,15:07:29,3456,TMPV,295.4,295.0,51.42848601176094,45.32454134431686,57.53243067920501
2026-03-30,15:07:28,3506,TITAN,3953.7,3960.0,27.67073967408505,27.67073967408505,
2026-03-30,15:07:30,3518,TORNTPHARM,4211.9,4220.0,28.28933656461381,29.469539261307144,27.10913386792048
2026-03-30,15:04:01,3563,ADANIGREEN,802.3,800.0,35.54207765259588,,35.54207765259588
2026-03-30,15:07:45,3787,WIPRO,187.67,187.5,10.479147289827935,14.094267438159822,6.864027141496049
2026-03-30,15:06:09,4067,MARICO,734.3,735.0,30.08537142854869,29.24059621630379,30.930146640793588
2026-03-30,15:06:17,4204,MOTHERSON,104.85,105.0,38.35900623674111,57.03749483101359,19.68051764246864
2026-03-30,15:07:08,4306,SHRIRAMFIN,872.2,870.0,8.823574205509392,,8.823574205509392
2026-03-30,15:06:18,4503,MPHASIS,2047.7,2050.0,12.040470199550857,5.781324549230306,18.299615849871408
2026-03-30,15:04:22,4668,BANKBARODA,247.6,247.5,27.81247234008149,,27.81247234008149
2026-03-30,15:05:18,467,HDFCLIFE,590.2,590.0,33.41517181038644,44.250678979263846,22.57966464150904
