timestamp,iv,close,volume,spot
2026-03-04 03:45:00,30.172161,31.35,207200,926.0
2026-03-04 04:00:00,30.152666,31.35,40600,926.05
2026-03-04 04:15:00,29.465102,34.9,37100,924.35
2026-03-04 04:30:00,30.32737,33.7,37800,920.75
2026-03-04 04:45:00,30.370791,33.1,25900,919.6
2026-03-04 05:00:00,29.707318,34.4,15400,923.1
2026-03-04 05:15:00,29.792727,32.3,11900,919.2
2026-03-04 05:30:00,29.542012,30.2,25900,925.1
2026-03-04 05:45:00,29.08787,34.75,37100,924.8
2026-03-04 06:00:00,29.396339,31.05,14700,927.0
2026-03-04 06:15:00,28.661473,30.8,11900,927.9
2026-03-04 06:30:00,29.925476,31.0,14700,925.95
2026-03-04 06:45:00,29.565703,31.25,14700,927.1
2026-03-04 07:00:00,30.220674,35.5,3500,924.25
2026-03-04 07:15:00,29.783856,35.5,700,925.0
2026-03-04 07:30:00,28.667037,29.7,5600,925.9
2026-03-04 07:45:00,28.698697,30.15,21000,926.7
2026-03-04 08:00:00,28.429322,29.85,12600,926.65
2026-03-04 08:15:00,28.23571,30.0,9100,927.3
2026-03-04 08:30:00,28.376845,31.0,11200,928.9
2026-03-04 08:45:00,28.136703,30.05,25200,927.6
2026-03-04 09:00:00,28.38611,31.05,23800,929.0
2026-03-04 09:15:00,28.485455,30.95,7700,928.65
2026-03-04 09:30:00,28.858396,30.5,41300,927.15
2026-03-04 09:45:00,30.567336,32.1,80500,927.0
2026-03-05 03:45:00,28.199881,32.4,162400,942.1
2026-03-05 04:00:00,28.261338,32.2,68600,941.65
2026-03-05 04:15:00,28.221856,30.55,62300,938.75
2026-03-05 04:30:00,28.029629,31.4,25900,940.65
2026-03-05 04:45:00,27.63437,30.15,24500,939.1
2026-03-05 05:00:00,26.969466,30.85,16800,941.55
2026-03-05 05:15:00,27.346364,31.1,6300,941.35
2026-03-05 05:30:00,27.922382,28.65,102200,945.2
2026-03-05 05:45:00,26.849631,32.6,28700,944.85
2026-03-05 06:00:00,26.297065,28.15,32200,937.9
2026-03-05 06:15:00,27.021317,28.05,36400,936.4
2026-03-05 06:30:00,26.282625,30.25,28000,941.75
2026-03-05 06:45:00,26.665357,30.9,16800,942.25
2026-03-05 07:00:00,26.476461,31.05,23800,942.85
2026-03-05 07:15:00,27.962102,32.25,95900,933.0
2026-03-05 07:30:00,28.644782,32.0,41300,931.4
2026-03-05 07:45:00,28.233325,33.3,32900,934.4
2026-03-05 08:00:00,28.287084,31.5,39200,931.15
2026-03-05 08:15:00,28.449811,30.6,33600,929.25
2026-03-05 08:30:00,28.315988,30.0,9800,928.4
2026-03-05 08:45:00,27.715168,31.15,24500,931.55
2026-03-05 09:00:00,26.197996,28.0,31500,937.95
2026-03-05 09:15:00,26.511959,29.45,53900,940.05
2026-03-05 09:30:00,27.250173,27.5,91700,935.1
2026-03-05 09:45:00,26.638471,27.9,18200,937.0
2026-03-06 03:45:00,27.627441,30.8,176400,941.45
2026-03-06 04:00:00,26.779707,26.8,133000,935.6
2026-03-06 04:15:00,26.871738,30.2,168700,941.7
2026-03-06 04:30:00,27.466188,28.35,62300,937.3
2026-03-06 04:45:00,26.557302,27.2,67200,936.8
2026-03-06 05:00:00,27.078154,28.15,51100,937.65
2026-03-06 05:15:00,27.237931,27.05,56700,935.3
2026-03-06 05:30:00,26.857243,27.15,74200,936.2
2026-03-06 05:45:00,26.858515,31.55,10500,934.7
2026-03-06 06:00:00,27.42027,31.9,14700,934.4
2026-03-06 06:15:00,27.603095,27.4,18900,935.35
2026-03-06 06:30:00,27.081256,28.3,18200,938.0
2026-03-06 06:45:00,27.555904,28.0,28000,936.6
2026-03-06 07:00:00,27.102662,26.95,37100,935.45
2026-03-06 07:15:00,27.481057,27.15,10500,935.15
2026-03-06 07:30:00,26.816908,31.0,7700,933.9
2026-03-06 07:45:00,27.03411,31.4,7000,934.25
2026-03-06 08:00:00,26.491053,31.2,21700,934.8
2026-03-06 08:15:00,27.633101,31.15,2100,932.85
2026-03-06 08:30:00,28.29334,31.4,700,932.2
2026-03-06 08:45:00,27.563613,30.9,4200,932.55
2026-03-06 09:00:00,27.323175,29.35,14700,930.2
2026-03-06 09:15:00,28.590883,32.5,44800,924.25
2026-03-06 09:30:00,29.286978,29.8,54600,918.25
2026-03-06 09:45:00,28.922626,28.25,58800,916.0
2026-03-09 03:45:00,36.588362,34.2,13300,880.9
2026-03-09 04:00:00,35.23925,33.05,23100,880.9
2026-03-09 04:15:00,34.831521,33.75,36400,882.8
2026-03-09 04:30:00,34.156831,33.2,58800,882.85
2026-03-09 04:45:00,35.763447,32.65,32200,879.4
2026-03-09 05:00:00,90.009159,80.55,22400,874.75
2026-03-09 05:15:00,34.736099,32.5,31500,880.75
2026-03-09 05:30:00,34.451603,30.1,13300,876.75
2026-03-09 05:45:00,34.042419,32.95,20300,882.65
2026-03-09 06:00:00,34.141512,33.7,73500,883.85
2026-03-09 06:15:00,34.562642,32.65,10500,881.35
2026-03-09 06:30:00,33.719952,31.0,23100,879.65
2026-03-09 06:45:00,34.828347,29.8,18900,875.65
2026-03-09 07:00:00,36.489385,34.45,24500,872.4
2026-03-09 07:15:00,36.015144,30.55,15400,875.2
2026-03-09 07:30:00,36.310252,34.2,21000,872.25
2026-03-09 07:45:00,35.622514,30.15,11200,875.1
2026-03-09 08:00:00,35.614653,31.05,37800,876.85
2026-03-09 08:15:00,36.591261,35.05,21700,873.4
2026-03-09 08:30:00,37.241126,34.25,7000,871.0
2026-03-09 08:45:00,36.372779,35.5,18900,874.55
2026-03-09 09:00:00,35.902385,31.1,14000,876.55
2026-03-09 09:15:00,35.12957,32.45,42700,880.3
2026-03-09 09:30:00,35.380951,33.95,36400,882.65
2026-03-09 09:45:00,35.284721,32.4,72100,880.0
2026-03-10 03:45:00,30.869669,27.8,65800,888.8
2026-03-10 04:00:00,31.090656,27.95,44800,888.75
2026-03-10 04:15:00,33.566374,28.4,9100,885.7
2026-03-10 04:30:00,33.096489,30.15,25200,889.75
2026-03-10 04:45:00,32.881508,31.7,30100,892.9
2026-03-10 05:00:00,30.968606,27.1,31500,896.8
2026-03-10 05:15:00,32.696906,32.15,241500,894.0
2026-03-10 05:30:00,32.315251,29.15,126700,898.55
2026-03-10 05:45:00,31.924564,29.0,92400,898.9
2026-03-10 06:00:00,31.886236,30.6,93100,901.9
2026-03-10 06:15:00,32.285839,29.45,140700,899.2
2026-03-10 06:30:00,32.124977,28.45,42700,897.6
2026-03-10 06:45:00,32.523255,31.0,68600,892.3
2026-03-10 07:00:00,32.940116,31.45,15400,892.5
2026-03-10 07:15:00,31.475694,26.7,44800,895.35
2026-03-10 07:30:00,32.004454,31.7,14000,894.35
2026-03-10 07:45:00,31.879812,27.05,64400,895.4
2026-03-10 08:00:00,31.044394,26.65,62300,896.0
2026-03-10 08:15:00,31.281071,27.05,56000,896.4
2026-03-10 08:30:00,30.885443,29.4,51800,901.4
2026-03-10 08:45:00,31.172746,27.1,70700,896.7
2026-03-10 09:00:00,31.247465,27.05,25200,896.5
2026-03-10 09:15:00,30.981334,28.2,33600,899.1
2026-03-10 09:30:00,31.482028,28.05,45500,898.05
2026-03-10 09:45:00,32.082551,28.6,88900,898.15
2026-03-11 03:45:00,30.937041,30.25,261800,903.95
2026-03-11 04:00:00,30.638612,28.9,60900,902.0
2026-03-11 04:15:00,30.02029,29.0,42700,903.1
2026-03-11 04:30:00,31.054861,26.0,56000,896.0
2026-03-11 04:45:00,30.788747,26.4,34300,897.2
2026-03-11 05:00:00,32.873755,30.85,10500,892.85
2026-03-11 05:15:00,32.842332,30.9,7700,893.0
2026-03-11 05:30:00,32.691988,29.55,5600,890.8
2026-03-11 05:45:00,32.14905,28.15,28700,889.05
2026-03-11 06:00:00,32.078749,28.3,18200,889.45
2026-03-11 06:15:00,32.766297,27.05,4200,886.05
2026-03-11 06:30:00,31.344174,26.25,16800,886.75
2026-03-11 06:45:00,32.693508,27.0,11200,886.1
2026-03-11 07:00:00,31.522614,27.95,14700,889.7
2026-03-11 07:15:00,32.347679,28.45,45500,889.4
2026-03-11 07:30:00,32.641131,27.35,14000,886.9
2026-03-11 07:45:00,31.792732,26.6,4900,886.8
2026-03-11 08:00:00,33.591755,30.8,39900,882.5
2026-03-11 08:15:00,33.065861,31.1,9800,883.8
2026-03-11 08:30:00,32.451992,30.15,6300,883.0
2026-03-11 08:45:00,33.510539,31.75,51800,884.35
2026-03-11 09:00:00,33.861519,30.4,7000,881.45
2026-03-11 09:15:00,34.152906,28.6,39200,877.7
2026-03-11 09:30:00,32.539306,26.2,56700,875.6
2026-03-11 09:45:00,32.295794,26.1,39200,875.8
2026-03-12 03:45:00,35.97989,27.9,83300,846.85
2026-03-12 04:00:00,35.734479,28.15,140700,838.35
2026-03-12 04:15:00,35.905346,29.1,105700,839.9
2026-03-12 04:30:00,35.258569,27.3,114800,837.45
2026-03-12 04:45:00,35.790812,26.65,113400,835.45
2026-03-12 05:00:00,35.877857,31.0,136500,834.05
2026-03-12 05:15:00,36.598937,30.6,108500,832.4
2026-03-12 05:30:00,35.666331,28.85,424200,839.85
2026-03-12 05:45:00,35.58048,28.0,160300,838.4
2026-03-12 06:00:00,35.804169,26.9,72100,836.0
2026-03-12 06:15:00,35.309306,27.7,33600,838.25
2026-03-12 06:30:00,35.297465,27.55,65100,838.0
2026-03-12 06:45:00,34.701473,27.95,95900,839.6
2026-03-12 07:00:00,34.676888,27.95,54600,839.65
2026-03-12 07:15:00,34.027301,27.0,41300,838.8
2026-03-12 07:30:00,33.708431,26.7,64400,838.7
2026-03-12 07:45:00,32.166302,24.05,105000,845.25
2026-03-12 08:00:00,36.87407,31.7,210000,843.55
2026-03-12 08:15:00,36.408436,29.85,80500,840.85
2026-03-12 08:30:00,35.771258,28.5,131600,839.25
2026-03-12 08:45:00,36.709039,28.95,45500,838.8
2026-03-12 09:00:00,36.00498,31.35,25900,834.75
2026-03-12 09:15:00,37.046136,30.4,56000,831.7
2026-03-12 09:30:00,35.845136,29.95,63700,832.5
2026-03-12 09:45:00,35.273639,28.15,84000,830.0
2026-03-13 03:45:00,35.34585,26.6,122500,818.8
2026-03-13 04:00:00,35.025474,25.0,137900,816.2
2026-03-13 04:15:00,35.851906,27.25,37100,810.0
2026-03-13 04:30:00,34.671364,29.05,88200,814.75
2026-03-13 04:45:00,33.935189,28.1,140000,814.0
2026-03-13 05:00:00,34.981277,27.65,14700,811.9
2026-03-13 05:15:00,34.648247,28.3,32900,813.5
2026-03-13 05:30:00,33.502943,28.2,20300,814.75
2026-03-13 05:45:00,34.812757,24.2,25900,815.05
2026-03-13 06:00:00,34.881444,25.9,53900,818.25
2026-03-13 06:15:00,34.9672,24.65,36400,815.75
2026-03-13 06:30:00,35.330771,29.3,7000,814.5
2026-03-13 06:45:00,34.435108,26.85,14700,811.25
2026-03-13 07:00:00,34.377552,24.4,41300,806.75
2026-03-13 07:15:00,34.807092,25.85,43400,808.95
2026-03-13 07:30:00,33.982993,23.9,49000,806.35
2026-03-13 07:45:00,34.648108,25.35,25900,808.25
2026-03-13 08:00:00,33.538492,24.75,25900,808.6
2026-03-13 08:15:00,34.706933,24.15,6300,805.9
2026-03-13 08:30:00,34.011953,26.55,19600,811.35
2026-03-13 08:45:00,35.817072,28.8,52500,813.15
2026-03-13 09:00:00,35.521267,28.95,46900,813.8
2026-03-13 09:15:00,35.07957,27.85,13300,812.4
2026-03-13 09:30:00,34.912668,28.65,27300,814.05
2026-03-13 09:45:00,32.673878,23.45,24500,816.8
2026-03-16 03:45:00,36.967794,25.0,186200,818.7
2026-03-16 04:00:00,34.12018,22.65,148400,827.2
2026-03-16 04:15:00,33.256706,22.1,171500,827.25
2026-03-16 04:30:00,34.036069,25.6,88900,823.35
2026-03-16 04:45:00,38.445516,26.5,56000,810.4
2026-03-16 05:00:00,38.015708,25.6,37800,809.25
2026-03-16 05:15:00,35.429154,25.45,35000,812.05
2026-03-16 05:30:00,34.566017,25.0,18900,812.25
2026-03-16 05:45:00,33.656877,22.7,123900,818.55
2026-03-16 06:00:00,34.341404,22.95,56000,818.2
2026-03-16 06:15:00,35.153969,23.65,24500,818.55
2026-03-16 06:30:00,34.801049,23.65,73500,819.0
2026-03-16 06:45:00,34.388618,23.8,23800,819.8
2026-03-16 07:00:00,34.792593,23.1,37800,818.0
2026-03-16 07:15:00,34.38922,21.8,37100,816.0
2026-03-16 07:30:00,34.367408,21.65,16800,815.75
2026-03-16 07:45:00,33.910141,21.6,12600,816.25
2026-03-16 08:00:00,34.698562,22.15,8400,816.35
2026-03-16 08:15:00,33.960625,22.05,5600,817.1
2026-03-16 08:30:00,35.584615,22.6,9800,816.15
2026-03-16 08:45:00,32.925967,24.9,90300,823.65
2026-03-16 09:00:00,31.475142,21.0,85400,827.7
2026-03-16 09:15:00,32.396348,21.05,43400,826.65
2026-03-16 09:30:00,33.912262,26.1,109900,824.7
2026-03-16 09:45:00,33.141673,25.2,54600,824.0
2026-03-17 03:45:00,33.39991,24.6,106400,814.3
2026-03-17 04:00:00,32.810471,24.2,118300,814.25
2026-03-17 04:15:00,30.635163,18.95,75600,816.55
2026-03-17 04:30:00,30.645968,19.05,50400,816.75
2026-03-17 04:45:00,30.989572,19.9,138600,818.0
2026-03-17 05:00:00,30.866638,23.0,55300,814.3
2026-03-17 05:15:00,30.455617,18.25,46900,815.45
2026-03-17 05:30:00,30.830208,22.0,74200,812.6
2026-03-17 05:45:00,30.892928,20.5,68600,809.8
2026-03-17 06:00:00,30.650991,20.8,35700,810.65
2026-03-17 06:15:00,30.031411,21.15,17500,812.0
2026-03-17 06:30:00,30.460725,21.35,39200,811.9
2026-03-17 06:45:00,30.751784,21.3,20300,811.5
2026-03-17 07:00:00,30.745646,22.8,27300,814.2
2026-03-17 07:15:00,31.70441,23.15,42000,813.8
2026-03-17 07:30:00,31.357247,23.5,71400,814.8
2026-03-17 07:45:00,33.496068,24.2,69300,813.75
